ENS_GENEID	geneSymbol
ENSRNOG00000002035	Paqr3
ENSRNOG00000054706	AABR07015007.1
ENSRNOG00000054704	AABR07016558.1
ENSRNOG00000047302	Btbd8
ENSRNOG00000056139	AABR07016621.1
ENSRNOG00000059950	AABR07014158.1
ENSRNOG00000009267	B3gnt2
ENSRNOG00000061922	U6
ENSRNOG00000004090	AABR07016056.1
ENSRNOG00000027791	Cox7a2
ENSRNOG00000055015	AABR07015559.1
ENSRNOG00000052548	SNORA73
ENSRNOG00000052544	SNORA36
ENSRNOG00000019000	Limk2
ENSRNOG00000036377	AABR07014722.1
ENSRNOG00000036375	AABR07015608.1
ENSRNOG00000036371	Mir216b
ENSRNOG00000036370	AABR07016769.1
ENSRNOG00000045800	AABR07016640.2
ENSRNOG00000047403	LOC302228
ENSRNOG00000050800	LOC100911576
ENSRNOG00000042041	Gal3st1
ENSRNOG00000004112	RGD1308775
ENSRNOG00000058212	U6
ENSRNOG00000032350	Kcnip4
ENSRNOG00000025509	Apbb2
ENSRNOG00000056150	Purb
ENSRNOG00000005982	C1d
ENSRNOG00000054242	AABR07015838.1
ENSRNOG00000005326	Cnrip1
ENSRNOG00000052352	AABR07014119.1
ENSRNOG00000056503	AABR07015015.1
ENSRNOG00000004781	Crmp1
ENSRNOG00000059504	AABR07015078.2
ENSRNOG00000061069	AABR07015838.2
ENSRNOG00000061065	7SK
ENSRNOG00000010867	Msantd1
ENSRNOG00000016427	Letm1
ENSRNOG00000022242	Cxcl9
ENSRNOG00000026150	Zar1
ENSRNOG00000023650	Cops4
ENSRNOG00000002301	Uso1
ENSRNOG00000002302	Corin
ENSRNOG00000042277	LOC689821
ENSRNOG00000023418	AABR07014573.1
ENSRNOG00000055849	Lpcat2b
ENSRNOG00000008079	Ugp2
ENSRNOG00000013039	Add1
ENSRNOG00000006593	Grpel1
ENSRNOG00000002178	Mrps18c
ENSRNOG00000002177	Gnpda2
ENSRNOG00000002174	Cwh43
ENSRNOG00000002175	Clock
ENSRNOG00000029964	Tmprss11g
ENSRNOG00000015474	Nelfa
ENSRNOG00000021347	Mthfd2l
ENSRNOG00000027032	Rhbdd3
ENSRNOG00000060825	Ccm2
ENSRNOG00000056621	AC099384.2
ENSRNOG00000043210	Ppp3r1
ENSRNOG00000042166	AABR07014259.1
ENSRNOG00000005122	Uvssa
ENSRNOG00000060673	SNORA17
ENSRNOG00000060672	SNORA17
ENSRNOG00000050100	LOC686911
ENSRNOG00000005248	Slc1a4
ENSRNOG00000001973	Ugt2a1
ENSRNOG00000046308	LOC100910308
ENSRNOG00000053415	AABR07014649.1
ENSRNOG00000027249	Fancl
ENSRNOG00000024207	Fgfrl1
ENSRNOG00000058588	Nfxl1
ENSRNOG00000013747	Sh3bp2
ENSRNOG00000011847	Grk4
ENSRNOG00000049420	AABR07015737.1
ENSRNOG00000030216	Abcg3l1
ENSRNOG00000035486	Mir3565
ENSRNOG00000059475	AABR07014987.1
ENSRNOG00000059479	Adcy1
ENSRNOG00000017775	Slc5a1
ENSRNOG00000053031	AC108312.1
ENSRNOG00000002792	Cxcl2
ENSRNOG00000007564	Evc
ENSRNOG00000003672	Enam
ENSRNOG00000002232	Aff1
ENSRNOG00000057816	SNORA5
ENSRNOG00000057811	AABR07015055.2
ENSRNOG00000058665	AABR07014875.1
ENSRNOG00000057178	AABR07014512.1
ENSRNOG00000053875	Nacad
ENSRNOG00000051435	U1
ENSRNOG00000060904	AABR07014355.1
ENSRNOG00000022298	Cxcl11
ENSRNOG00000004515	Pes1
ENSRNOG00000012184	Urgcp
ENSRNOG00000002002	Tmprss11bnl
ENSRNOG00000002004	Prdm8
ENSRNOG00000002005	Tmprss11f
ENSRNOG00000038427	Gm1043
ENSRNOG00000015093	Sparcl1
ENSRNOG00000014874	Zfyve28
ENSRNOG00000051571	AABR07014306.1
ENSRNOG00000059010	Rnf212
ENSRNOG00000025695	Tns3
ENSRNOG00000054331	Wdpcp
ENSRNOG00000006876	Msx1
ENSRNOG00000000081	Antxr2
ENSRNOG00000055068	LOC100360977
ENSRNOG00000052046	U6
ENSRNOG00000056749	SCARNA23
ENSRNOG00000056747	AABR07015055.1
ENSRNOG00000060533	SNORA17
ENSRNOG00000051837	Nwd2
ENSRNOG00000005633	Zbtb49
ENSRNOG00000009040	Gas2l1
ENSRNOG00000059730	AABR07016619.1
ENSRNOG00000004279	Adgra3
ENSRNOG00000008716	Nefh
ENSRNOG00000002541	Pds5a
ENSRNOG00000002540	Rhoh
ENSRNOG00000002546	Rchy1
ENSRNOG00000024689	Hopx
ENSRNOG00000038678	LOC100359498
ENSRNOG00000052949	U6
ENSRNOG00000059283	7SK
ENSRNOG00000059284	AABR07015674.1
ENSRNOG00000059285	U1
ENSRNOG00000002278	Tec
ENSRNOG00000024112	Dgkq
ENSRNOG00000005464	Lgalsl
ENSRNOG00000002855	Rfc1
ENSRNOG00000048308	Dr1
ENSRNOG00000004332	Egfr
ENSRNOG00000002089	Ccng2
ENSRNOG00000002085	Thegl
ENSRNOG00000057919	AABR07014306.2
ENSRNOG00000028498	Wdr1
ENSRNOG00000037421	Zfp951
ENSRNOG00000047358	LOC100912702
ENSRNOG00000047351	AABR07015081.1
ENSRNOG00000042588	LOC100361864
ENSRNOG00000057639	AABR07014304.1
ENSRNOG00000058054	AABR07015517.1
ENSRNOG00000061793	AC136013.4
ENSRNOG00000059094	U6
ENSRNOG00000060110	AABR07014881.1
ENSRNOG00000033214	AABR07072400.1
ENSRNOG00000003787	Lcorl
ENSRNOG00000007948	Nf2
ENSRNOG00000003253	Qdpr
ENSRNOG00000002121	Lrrc8d
ENSRNOG00000002120	Spata18
ENSRNOG00000002122	Lrrc8c
ENSRNOG00000002125	Ccni
ENSRNOG00000002127	AABR07014836.1
ENSRNOG00000002129	Lrrc8b
ENSRNOG00000002128	Ppat
ENSRNOG00000023937	Mfsd7
ENSRNOG00000052658	SNORA17
ENSRNOG00000053017	AC131411.2
ENSRNOG00000004145	Prorsd1
ENSRNOG00000004140	Pacrgl
ENSRNOG00000005374	Lyar
ENSRNOG00000055144	U6
ENSRNOG00000004426	Rps27a
ENSRNOG00000046540	Ugt2b15
ENSRNOG00000056557	U6
ENSRNOG00000057207	AABR07014239.1
ENSRNOG00000060369	AABR07015687.1
ENSRNOG00000015255	Haus3
ENSRNOG00000051972	AABR07072374.1
ENSRNOG00000008456	Thoc5
ENSRNOG00000060602	AABR07014275.1
ENSRNOG00000049244	Sepsecs
ENSRNOG00000001949	Smr3a
